InventoryID,DealerID,VehicleID,StockLevel,ReorderThreshold
INV0139,D039,V0137,34,9.0
INV0140,D002,V0345,22,9.0
INV0141,D026,V0090,8,7.0
INV0142,D049,V0354,31,7.0
INV0143,D034,V0171,22,7.0
INV0144,D035,V0375,20,2.0
INV0145,D045,V0209,43,8.0
INV0146,D018,V0087,23,7.0
INV0147,D039,V0499,30,4.0
INV0148,D037,V0283,10,8.0
INV0149,D047,V0424,7,2.0
INV0150,D042,V0335,10,3.0
INV0151,D050,V0336,43,10.0
INV0152,D017,V0475,14,6.0
INV0153,D036,V0193,34,7.0
INV0154,D046,V0068,28,10.0
INV0155,D031,V0371,10,8.0
INV0156,D033,V0490,37,2.0
INV0157,D045,V0060,23,
INV0158,D027,V0179,26,6.0
INV0159,D015,V0489,32,4.0
INV0160,D044,V0061,2,7.0
INV0161,D024,V0405,43,3.0
INV0162,D027,V0183,34,5.0
INV0163,D012,V0251,47,10.0
INV0164,D044,V0231,21,3.0
INV0165,D035,V0047,3,3.0
INV0166,D049,V0404,41,7.0
INV0167,D012,V0134,29,3.0
INV0168,D047,V0323,0,5.0
INV0169,D005,V0041,11,6.0
INV0170,D001,V0460,48,
INV0171,D037,V0370,37,4.0
INV0172,D028,V0412,43,3.0
INV0173,D004,V0371,16,4.0
INV0174,D006,V0434,41,4.0
INV0175,D017,V0177,18,10.0
INV0176,D023,V0024,1,10.0
INV0177,D030,V0317,3,3.0
INV0178,D023,V0200,0,9.0
INV0179,D001,V0325,46,3.0
INV0180,D019,V0012,3,4.0
INV0181,D031,V0422,39,8.0
INV0182,D012,V0144,22,4.0
INV0183,D042,V0065,20,6.0
INV0184,D041,V0085,44,8.0
INV0185,D039,V0061,33,2.0
INV0186,D012,V0223,37,6.0
INV0187,D045,V0205,34,5.0
INV0188,D024,V0367,0,9.0
INV0189,D035,V0095,18,4.0
INV0190,D001,V0262,18,10.0
INV0191,D048,V0439,26,7.0
INV0192,D013,V0482,34,2.0
INV0193,D002,V0431,26,7.0
INV0194,D002,V0104,12,6.0
INV0195,D008,V0226,8,3.0
INV0196,D004,V0302,32,9.0
INV0197,D039,V0364,-8,10.0
INV0198,D034,V0107,23,3.0
INV0199,D044,V0093,0,2.0
INV0200,D007,V0196,45,7.0
INV0201,D047,V0177,3,6.0
INV0202,D003,V0280,46,5.0
INV0203,D031,V0187,10,9.0
INV0204,D033,V0401,13,4.0
INV0205,D006,V0283,43,9.0
INV0206,D028,V0034,50,8.0
INV0207,D031,V0361,15,10.0
INV0208,D041,V0316,32,3.0
INV0209,D015,V0085,26,9.0
INV0210,D025,V0491,49,10.0
INV0211,D050,V0144,32,4.0
INV0212,D049,V0218,23,6.0
INV0213,D001,V0048,28,8.0
INV0214,D015,V0294,12,4.0
INV0215,D049,V0406,4,6.0
INV0216,D023,V0296,17,8.0
INV0217,D022,V0217,22,6.0
INV0218,D021,V0334,42,10.0
INV0219,D007,V0426,46,9.0
INV0220,D038,V0035,30,2.0
INV0221,D001,V0334,37,5.0
INV0222,D015,V0003,31,7.0
INV0223,D018,V0412,35,9.0
INV0224,D018,V0164,15,7.0
INV0225,D019,V0396,41,10.0
INV0226,D042,V0380,43,
INV0227,D007,V0125,18,10.0
INV0228,D045,V0118,2,6.0
INV0229,D015,V0219,21,
INV0230,D030,V0245,48,10.0
INV0231,D041,V0330,13,8.0
INV0232,D038,V0380,40,8.0
INV0233,D045,V0031,9,3.0
INV0234,D014,V0178,25,7.0
INV0235,D004,V0382,22,3.0
INV0236,D040,V0071,20,9.0
INV0237,D047,V0089,4,9.0
INV0238,D019,V0344,34,2.0
INV0239,D041,V0231,22,6.0
INV0240,D025,V0369,31,8.0
INV0241,D046,V0011,11,10.0
INV0242,D011,V0368,39,10.0
INV0243,D048,V0387,30,9.0
INV0244,D036,V0044,28,7.0
INV0245,D032,V0350,16,4.0
INV0246,D033,V0460,6,6.0
INV0247,D032,V0129,22,2.0
INV0248,D016,V0055,7,
INV0249,D038,V0082,43,9.0
INV0250,D035,V0060,19,7.0
INV0251,D045,V0087,11,5.0
INV0252,D048,V0013,-13,8.0
INV0253,D025,V0458,32,10.0
INV0254,D004,V0455,18,4.0
INV0255,D050,V0281,21,6.0
INV0256,D003,V0326,-11,3.0
INV0257,D019,V0461,17,2.0
INV0258,D038,V0181,14,7.0
INV0259,D022,V0492,13,7.0
INV0260,D031,V0273,40,6.0
INV0261,D031,V0343,40,3.0
INV0262,D008,V0233,1,
INV0263,D039,V0039,17,7.0
INV0264,D037,V0198,28,9.0
INV0265,D045,V0386,48,4.0
INV0266,D042,V0075,31,4.0
INV0267,D029,V0037,36,10.0
INV0268,D032,V0336,25,7.0
INV0269,D001,V0417,32,4.0
INV0270,D023,V0160,16,5.0
INV0271,D024,V0075,35,8.0
INV0272,D005,V0235,20,8.0
INV0273,D037,V0457,1,2.0
INV0274,D033,V0012,24,7.0
INV0275,D046,V0265,8,5.0
INV0276,D023,V0324,9,5.0
INV0277,D041,V0219,7,8.0
INV0278,D026,V0419,13,8.0
INV0279,D031,V0151,44,7.0
INV0280,D017,V0382,6,2.0
INV0281,D048,V0273,32,10.0
INV0282,D012,V0113,42,8.0
INV0283,D043,V0122,20,10.0
INV0284,D023,V0272,46,3.0
INV0285,D049,V0413,35,5.0
INV0286,D022,V0188,24,3.0
INV0287,D045,V0320,5,2.0
INV0288,D011,V0306,4,8.0
INV0289,D021,V0416,42,5.0
INV0290,D040,V0171,37,7.0
INV0291,D017,V0127,20,8.0
INV0292,D021,V0240,31,6.0
INV0293,D011,V0013,18,9.0
INV0294,D013,V0234,45,5.0
INV0295,D035,V0169,17,2.0
INV0296,D046,V0042,16,7.0
INV0297,D017,V0241,12,3.0
INV0298,D027,V0327,22,3.0
INV0299,D011,V0166,13,10.0
INV0300,D038,V0347,40,8.0
INV0301,D033,V0497,30,10.0
INV0302,D017,V0257,45,7.0
INV0303,D048,V0191,9,5.0
INV0304,D004,V0249,9,2.0
INV0305,D011,V0125,12,5.0
INV0306,D015,V0092,35,9.0
INV0307,D024,V0113,8,9.0
INV0308,D014,V0494,10,8.0
INV0309,D023,V0258,29,8.0
INV0310,D039,V0434,35,6.0
INV0311,D013,V0367,43,7.0
INV0312,D038,V0203,39,4.0
INV0313,D042,V0406,22,2.0
INV0314,D006,V0440,9,3.0
INV0315,D033,V0404,22,7.0
INV0316,D015,V0404,10,8.0
INV0317,D010,V0219,13,9.0
INV0318,D041,V0003,0,
INV0319,D024,V0349,30,5.0
INV0320,D031,V0066,28,7.0
INV0321,D004,V0135,33,2.0
INV0322,D040,V0456,26,9.0
INV0323,D033,V0090,25,4.0
INV0324,D007,V0139,6,7.0
INV0325,D030,V0302,8,8.0
INV0326,D023,V0222,25,9.0
INV0327,D045,V0019,0,8.0
INV0328,D049,V0473,10,9.0
INV0329,D023,V0474,33,8.0
INV0330,D006,V0284,42,8.0
INV0331,D040,V0025,24,10.0
INV0332,D032,V0147,38,3.0
INV0333,D032,V0326,43,4.0
INV0334,D036,V0298,0,3.0
INV0335,D031,V0041,31,3.0
INV0336,D032,V0045,39,9.0
INV0337,D020,V0195,10,4.0
INV0338,D038,V0334,40,5.0
INV0339,D036,V0220,16,3.0
INV0340,D014,V0241,47,2.0
INV0341,D020,V0416,39,10.0
INV0342,D038,V0115,37,3.0
INV0343,D041,V0306,34,3.0
INV0344,D022,V0299,24,8.0
INV0345,D005,V0461,5,3.0
INV0346,D036,V0025,-3,
INV0347,D036,V0475,47,4.0
INV0348,D018,V0157,47,
INV0349,D002,V0033,13,4.0
INV0350,D008,V0015,22,3.0
INV0351,D029,V0064,21,7.0
INV0352,D003,V0225,37,4.0
INV0353,D020,V0161,31,7.0
INV0354,D023,V0169,13,3.0
INV0355,D012,V0162,26,8.0
INV0356,D029,V0365,20,3.0
INV0357,D050,V0459,0,9.0
INV0358,D006,V0136,30,5.0
INV0359,D016,V0342,22,5.0
INV0360,D039,V0139,-4,8.0
INV0361,D044,V0020,31,3.0
INV0362,D019,V0312,9,9.0
INV0363,D038,V0404,30,9.0
INV0364,D023,V0040,9,
INV0365,D025,V0258,35,3.0
INV0366,D019,V0176,45,8.0
INV0367,D001,V0228,49,7.0
INV0368,D037,V0090,22,8.0
INV0369,D001,V0358,19,2.0
INV0370,D028,V0248,21,2.0
INV0371,D028,V0473,30,4.0
INV0372,D038,V0015,21,5.0
INV0373,D008,V0390,11,5.0
INV0374,D029,V0468,9,7.0
INV0375,D007,V0352,33,4.0
INV0376,D016,V0214,9,8.0
INV0377,D023,V0448,11,9.0
INV0378,D008,V0173,16,9.0
INV0379,D036,V0401,18,7.0
INV0380,D041,V0239,42,3.0
INV0381,D018,V0144,16,6.0
INV0382,D009,V0033,6,2.0
INV0383,D044,V0452,32,6.0
INV0384,D019,V0202,18,
INV0385,D042,V0117,23,3.0
INV0386,D025,V0197,9,2.0
INV0387,D025,V0119,38,7.0
INV0388,D020,V0342,-12,6.0
INV0389,D044,V0211,34,3.0
INV0390,D013,V0015,41,8.0
INV0391,D039,V0225,15,2.0
INV0392,D015,V0058,32,7.0
INV0393,D001,V0363,37,4.0
INV0394,D004,V0354,50,9.0
INV0395,D015,V0235,4,3.0
INV0396,D010,V0216,12,5.0
INV0397,D036,V0387,15,10.0
INV0398,D036,V0254,27,9.0
INV0399,D050,V0381,38,6.0
INV0400,D019,V0029,38,7.0
INV0401,D032,V0160,45,10.0
INV0402,D024,V0478,28,3.0
INV0403,D032,V0290,32,6.0
INV0404,D019,V0024,12,7.0
INV0405,D046,V0175,43,6.0
INV0406,D025,V0374,29,2.0
INV0407,D042,V0018,4,2.0
INV0408,D001,V0230,14,7.0
INV0409,D039,V0009,29,
INV0410,D004,V0388,13,9.0
INV0411,D008,V0310,22,2.0
INV0412,D016,V0037,24,2.0
INV0413,D015,V0136,47,
INV0414,D045,V0183,42,5.0
INV0415,D016,V0181,7,10.0
INV0416,D042,V0166,24,3.0
INV0417,D045,V0363,22,4.0
INV0418,D049,V0226,47,5.0
INV0419,D040,V0036,8,2.0
INV0420,D007,V0462,48,4.0
INV0421,D012,V0346,16,8.0
INV0422,D031,V0390,43,5.0
INV0423,D037,V0341,19,10.0
INV0424,D012,V0204,37,9.0
INV0425,D018,V0079,33,4.0
INV0426,D047,V0336,0,9.0
INV0427,D030,V0323,20,4.0
INV0428,D039,V0026,5,4.0
INV0429,D034,V0118,18,6.0
INV0430,D027,V0338,45,8.0
INV0431,D010,V0166,42,4.0
INV0432,D004,V0039,27,7.0
INV0433,D038,V0071,13,9.0
INV0434,D039,V0129,12,
INV0435,D045,V0322,36,3.0
INV0436,D030,V0292,18,8.0
INV0437,D040,V0496,22,8.0
INV0438,D013,V0021,14,4.0
INV0439,D019,V0002,21,8.0
INV0440,D003,V0469,26,8.0
INV0441,D045,V0067,46,6.0
INV0442,D024,V0380,47,8.0
INV0443,D021,V0221,11,3.0
INV0444,D050,V0243,38,2.0
INV0445,D021,V0471,16,7.0
INV0446,D046,V0134,23,7.0
INV0447,D018,V0171,14,2.0
INV0448,D043,V0279,44,3.0
INV0449,D041,V0106,10,7.0
INV0450,D008,V0063,14,
INV0451,D013,V0042,49,6.0
INV0452,D034,V0217,2,5.0
INV0453,D016,V0405,17,7.0
INV0454,D004,V0318,49,6.0
INV0455,D021,V0405,36,2.0
INV0456,D046,V0465,22,5.0
INV0457,D046,V0444,4,
INV0458,D007,V0227,3,
INV0459,D024,V0449,7,
INV0460,D032,V0006,34,4.0
INV0461,D025,V0112,35,9.0
INV0462,D017,V0152,33,2.0
INV0463,D020,V0150,2,
INV0464,D019,V0074,2,7.0
INV0465,D044,V0187,31,3.0
INV0466,D018,V0025,11,
INV0467,D043,V0184,14,6.0
INV0468,D041,V0262,7,4.0
INV0469,D044,V0091,46,9.0
INV0470,D041,V0090,33,9.0
INV0471,D038,V0452,39,9.0
INV0472,D030,V0462,30,5.0
INV0473,D017,V0416,18,4.0
INV0474,D003,V0297,25,5.0
INV0475,D028,V0327,6,6.0
INV0476,D018,V0383,43,9.0
INV0477,D049,V0401,15,4.0
INV0478,D007,V0358,11,10.0
INV0479,D005,V0153,3,8.0
INV0480,D019,V0148,36,3.0
INV0481,D009,V0156,43,4.0
INV0482,D004,V0236,2,5.0
INV0483,D027,V0326,18,10.0
INV0484,D002,V0081,29,8.0
INV0485,D044,V0176,-1,4.0
INV0486,D032,V0355,43,9.0
INV0487,D004,V0310,24,5.0
INV0488,D023,V0379,9,10.0
INV0489,D032,V0048,23,9.0
INV0490,D005,V0186,39,9.0
INV0491,D029,V0280,36,
INV0492,D035,V0224,0,6.0
INV0493,D035,V0255,44,
INV0494,D023,V0345,40,10.0
INV0495,D040,V0129,17,5.0
INV0496,D006,V0222,5,2.0
INV0497,D048,V0312,0,2.0
INV0498,D010,V0416,7,10.0
INV0499,D010,V0052,8,3.0
INV0500,D012,V0407,36,7.0
INV0501,D037,V0371,15,2.0
INV0502,D041,V0078,5,10.0
INV0503,D035,V0013,42,2.0
INV0504,D039,V0383,4,2.0
INV0505,D001,V0252,50,6.0
INV0506,D024,V0135,15,4.0
INV0507,D039,V0176,0,2.0
INV0508,D037,V0466,10,10.0
INV0509,D039,V0184,31,5.0
INV0510,D039,V0185,49,9.0
INV0511,D038,V0251,6,10.0
INV0512,D040,V0315,24,6.0
INV0513,D030,V0060,23,9.0
INV0514,D019,V0111,11,4.0
INV0515,D023,V0397,30,3.0
INV0516,D037,V0421,19,7.0
INV0517,D036,V0136,31,8.0
INV0518,D034,V0084,23,9.0
INV0519,D001,V0441,21,9.0
INV0520,D045,V0424,39,9.0
INV0521,D040,V0159,22,4.0
INV0522,D018,V0294,16,5.0
INV0523,D007,V0134,18,10.0
INV0524,D022,V0154,26,6.0
INV0525,D008,V0294,10,4.0
INV0526,D010,V0332,41,10.0
INV0527,D036,V0457,44,7.0
INV0528,D016,V0253,24,10.0
INV0529,D032,V0405,2,10.0
INV0530,D008,V0342,18,10.0
INV0531,D005,V0085,35,9.0
INV0532,D044,V0084,35,4.0
INV0533,D048,V0359,6,8.0
INV0534,D036,V0106,26,9.0
INV0535,D016,V0237,45,5.0
INV0536,D025,V0054,47,5.0
INV0537,D009,V0500,11,2.0
INV0538,D009,V0022,43,9.0
INV0539,D002,V0361,-4,9.0
INV0540,D023,V0383,6,5.0
INV0541,D024,V0382,13,7.0
INV0542,D003,V0346,47,9.0
INV0543,D026,V0347,46,4.0
INV0544,D014,V0065,13,9.0
INV0545,D031,V0397,21,7.0
INV0546,D038,V0288,25,3.0
INV0547,D012,V0106,14,4.0
INV0548,D016,V0296,42,2.0
INV0549,D047,V0115,4,4.0
INV0550,D029,V0460,49,7.0
INV0551,D020,V0032,4,2.0
INV0552,D047,V0178,29,9.0
INV0553,D002,V0267,37,7.0
INV0554,D010,V0071,5,4.0
INV0555,D029,V0335,50,7.0
INV0556,D038,V0039,44,5.0
INV0557,D026,V0149,11,8.0
INV0558,D028,V0218,20,3.0
INV0559,D026,V0465,34,3.0
INV0560,D036,V0469,15,5.0
INV0561,D004,V0295,18,7.0
INV0562,D032,V0206,30,2.0
INV0563,D050,V0166,24,6.0
INV0564,D026,V0177,24,7.0
INV0565,D041,V0328,41,10.0
INV0566,D010,V0196,43,7.0
INV0567,D044,V0167,49,3.0
INV0568,D019,V0252,13,8.0
INV0569,D004,V0358,2,10.0
INV0570,D040,V0279,34,4.0
INV0571,D001,V0122,48,3.0
INV0572,D019,V0401,32,6.0
INV0573,D029,V0377,1,3.0
INV0574,D049,V0131,49,7.0
INV0575,D021,V0286,45,9.0
INV0576,D010,V0484,16,2.0
INV0577,D030,V0158,24,3.0
INV0578,D020,V0229,32,9.0
INV0579,D025,V0424,14,10.0
INV0580,D038,V0272,31,6.0
INV0581,D039,V0260,33,3.0
INV0582,D001,V0161,50,9.0
INV0583,D022,V0006,16,8.0
INV0584,D034,V0383,45,10.0
INV0585,D018,V0251,24,8.0
INV0586,D032,V0254,45,8.0
INV0587,D043,V0432,21,10.0
INV0588,D042,V0002,27,6.0
INV0589,D017,V0137,21,9.0
INV0590,D047,V0010,49,8.0
INV0591,D030,V0279,26,8.0
INV0592,D049,V0043,31,7.0
INV0593,D004,V0474,42,6.0
INV0594,D040,V0209,16,2.0
INV0595,D043,V0243,24,8.0
INV0596,D004,V0329,50,
INV0597,D018,V0471,23,2.0
INV0598,D021,V0034,29,8.0
INV0599,D016,V0112,15,6.0
INV0600,D001,V0177,43,3.0
INV0601,D022,V0448,49,6.0
INV0602,D048,V0407,1,2.0
INV0603,D036,V0476,9,4.0
INV0604,D046,V0432,31,7.0
INV0605,D001,V0316,2,3.0
INV0606,D045,V0343,27,9.0
INV0607,D006,V0299,10,
INV0608,D012,V0039,-14,8.0
INV0609,D012,V0302,10,6.0
INV0610,D043,V0421,50,5.0
INV0611,D045,V0352,32,2.0
INV0612,D008,V0369,32,3.0
INV0613,D028,V0266,29,6.0
INV0614,D038,V0275,22,5.0
INV0615,D043,V0482,44,5.0
INV0616,D021,V0160,13,9.0
INV0617,D044,V0188,23,9.0
INV0618,D041,V0370,29,7.0
INV0619,D002,V0101,39,
INV0620,D048,V0319,43,3.0
INV0621,D037,V0425,16,2.0
INV0622,D013,V0321,43,9.0
INV0623,D048,V0454,23,2.0
INV0624,D026,V0064,37,9.0
INV0625,D016,V0476,27,3.0
INV0626,D014,V0426,47,5.0
INV0627,D014,V0478,29,10.0
INV0628,D014,V0262,4,6.0
INV0629,D013,V0400,16,5.0
INV0630,D031,V0003,44,3.0
INV0631,D050,V0331,-14,4.0
INV0632,D023,V0445,0,2.0
INV0633,D020,V0029,5,10.0
INV0634,D030,V0308,35,9.0
INV0635,D039,V0468,26,9.0
INV0636,D048,V0182,22,3.0
INV0637,D011,V0105,24,9.0
INV0638,D045,V0217,21,5.0
INV0639,D039,V0474,36,6.0
INV0640,D020,V0201,17,8.0
INV0641,D036,V0325,-14,9.0
INV0642,D040,V0310,40,3.0
INV0643,D042,V0407,32,6.0
INV0644,D003,V0451,29,7.0
INV0645,D037,V0337,5,4.0
INV0646,D034,V0435,18,10.0
INV0647,D044,V0019,30,2.0
INV0648,D028,V0026,19,3.0
INV0649,D028,V0220,5,5.0
INV0650,D008,V0279,1,4.0
INV0651,D034,V0221,43,6.0
INV0652,D031,V0182,36,7.0
INV0653,D027,V0389,13,8.0
INV0654,D009,V0407,1,8.0
INV0655,D031,V0143,40,10.0
INV0656,D019,V0101,43,
INV0657,D027,V0319,33,3.0
INV0658,D001,V0096,31,7.0
INV0659,D037,V0262,25,4.0
INV0660,D006,V0266,38,4.0
INV0661,D019,V0043,40,3.0
INV0662,D030,V0092,13,5.0
INV0663,D013,V0427,46,9.0
INV0664,D009,V0451,12,7.0
INV0665,D021,V0300,21,2.0
INV0666,D034,V0131,25,4.0
INV0667,D013,V0476,46,5.0
INV0668,D045,V0090,40,10.0
INV0669,D046,V0240,3,10.0
INV0670,D032,V0234,21,3.0
INV0671,D048,V0414,11,9.0
INV0672,D030,V0048,29,9.0
INV0673,D006,V0046,48,7.0
INV0674,D002,V0111,17,6.0
INV0675,D016,V0047,25,4.0
INV0676,D001,V0237,26,3.0
INV0677,D015,V0146,33,2.0
INV0678,D041,V0286,45,6.0
INV0679,D047,V0072,32,3.0
INV0680,D039,V0472,27,3.0
INV0681,D049,V0472,34,6.0
INV0682,D012,V0017,42,5.0
INV0683,D042,V0187,39,7.0
INV0684,D027,V0175,36,9.0
INV0685,D024,V0368,38,3.0
INV0686,D014,V0458,7,7.0
INV0687,D023,V0477,28,2.0
INV0688,D020,V0078,49,5.0
INV0689,D023,V0226,25,4.0
INV0690,D046,V0428,37,9.0
INV0691,D011,V0270,7,10.0
INV0692,D023,V0185,13,
INV0693,D024,V0384,43,3.0
INV0694,D009,V0488,32,9.0
INV0695,D007,V0465,36,5.0
INV0696,D025,V0020,21,7.0
INV0697,D009,V0236,11,4.0
INV0698,D035,V0287,8,8.0
INV0699,D022,V0370,11,3.0
INV0700,D003,V0441,12,2.0
INV0701,D008,V0489,30,9.0
INV0702,D047,V0303,47,4.0
INV0703,D025,V0193,44,7.0
INV0704,D010,V0258,28,5.0
INV0705,D016,V0448,26,9.0
INV0706,D032,V0105,11,7.0
INV0707,D017,V0004,12,4.0
INV0708,D029,V0408,12,5.0
INV0709,D037,V0054,43,4.0
INV0710,D033,V0210,49,10.0
INV0711,D006,V0039,27,9.0
INV0712,D029,V0498,47,2.0
INV0713,D017,V0366,14,8.0
INV0714,D037,V0468,12,7.0
INV0715,D020,V0074,22,
INV0716,D036,V0107,33,3.0
INV0717,D012,V0199,37,3.0
INV0718,D038,V0423,13,9.0
INV0719,D042,V0324,7,2.0
INV0720,D013,V0244,28,8.0
INV0721,D036,V0493,14,10.0
INV0722,D007,V0130,46,3.0
INV0723,D026,V0341,21,10.0
INV0724,D048,V0011,23,7.0
INV0725,D030,V0151,44,3.0
INV0726,D018,V0069,18,9.0
INV0727,D045,V0050,0,8.0
INV0728,D019,V0128,12,8.0
INV0729,D045,V0160,12,3.0
INV0730,D021,V0493,50,5.0
INV0731,D047,V0479,13,4.0
INV0732,D024,V0030,31,7.0
INV0733,D019,V0391,11,
INV0734,D005,V0497,31,5.0
INV0735,D045,V0381,21,2.0
INV0736,D046,V0182,2,8.0
INV0737,D012,V0292,50,6.0
INV0738,D016,V0318,0,9.0
INV0739,D022,V0332,30,
INV0740,D022,V0460,44,10.0
INV0741,D046,V0394,49,4.0
INV0742,D004,V0126,9,10.0
INV0743,D012,V0424,34,7.0
INV0744,D033,V0230,43,5.0
INV0745,D019,V0435,16,9.0
INV0746,D030,V0146,41,8.0
INV0747,D036,V0115,35,8.0
INV0748,D008,V0440,49,8.0
INV0749,D019,V0410,1,4.0
INV0750,D024,V0287,26,2.0
INV0751,D021,V0294,10,4.0
INV0752,D042,V0188,50,8.0
INV0753,D019,V0460,31,8.0
INV0754,D034,V0487,6,7.0
INV0755,D047,V0032,16,8.0
INV0756,D019,V0333,15,2.0
INV0757,D019,V0098,5,3.0
INV0758,D028,V0204,9,8.0
INV0759,D023,V0241,46,10.0
INV0760,D037,V0474,13,6.0
INV0761,D021,V0090,49,9.0
INV0762,D008,V0467,27,10.0
INV0763,D028,V0368,19,3.0
INV0764,D008,V0084,23,7.0
INV0765,D019,V0413,19,2.0
INV0766,D018,V0478,47,5.0
INV0767,D031,V0090,46,10.0
INV0768,D027,V0033,8,
INV0769,D039,V0305,33,10.0
INV0770,D007,V0035,6,6.0
INV0771,D014,V0193,14,7.0
INV0772,D006,V0154,26,10.0
INV0773,D031,V0449,20,10.0
INV0774,D003,V0114,40,2.0
INV0775,D005,V0417,16,5.0
INV0776,D035,V0283,28,3.0
INV0777,D037,V0080,8,
INV0778,D016,V0359,31,4.0
INV0779,D007,V0007,23,4.0
