VehicleID,Brand,ModelName,VehicleType,CostPrice,SellingPrice
V0388,Kia,Kia Laboriosam,MUV,1380965,1855819
V0389,Volkswagen,Volkswagen Accusamus,,2297477,2854835
V0390,Maruti Suzuki,Maruti suzuki In,MUV,1428825,1718194
V0391,MG,Mg Vel,Hatchback,427508,561137
V0392,toyota,Toyota Perspiciatis,Sedan,2493928,3136532
V0393,Tata,Tata Iste,MUV,627702,779280
V0394,Tata,Tata Magni,SUV,1806119,2126953
V0395,Honda,Honda Impedit,MUV,568172,743191
V0396,Mahindra,Mahindra Nobis,SUV,1193683,1584755
V0397,Volkswagen,Volkswagen Delectus,MUV,1795443,2274345
V0398,Volkswagen,Volkswagen Mollitia,MUV,2101856,2477312
V0399,Skoda,Skoda Impedit,Sedan,2201954,2611128
V0400,Toyota,Toyota Blanditiis,Hatchback,1170512,1508069
V0401,MG,Mg Enim,MUV,1017022,1274192
V0402,Skoda,Skoda Quaerat,MUV,693848,867626
V0403,Skoda,Skoda Beatae,SUV,422209,493047
V0404,Volkswagen,Volkswagen Officia,EV,2336296,2998456
V0405,Volkswagen,Volkswagen Rerum,EV,1012814,1285792
V0406,Skoda,Skoda In,EV,454350,561227
V0407,Tata,Tata Accusamus,EV,2273716,2669548
V0408,Skoda,Skoda Occaecati,,486778,603493
V0409,Kia,Kia Mollitia,EV,2471858,3025229
V0410,Maruti Suzuki,Maruti suzuki Ea,MUV,736040,968923
V0411,Toyota,Toyota Nulla,SUV,1623799,2173411
V0412,Skoda,Skoda Dignissimos,SUV,1843899,2122941
V0413,Mahindra,Mahindra Id,Sedan,972787,1185629
V0414,maruti suzuki,Maruti suzuki Ullam,MUV,730717,856219
V0415,Volkswagen,Volkswagen Natus,MUV,474207,602721
V0416,Hyundai,Hyundai Similique,SUV,2402216,2832510
V0417,Kia,Kia Ipsa,SUV,905303,1220809
V0418,Toyota,Toyota Ipsum,EV,975733,1199864
V0419,Maruti Suzuki,Maruti suzuki Autem,MUV,2028418,2623860
V0420,MG,Mg Et,EV,2306840,2944311
V0421,Kia,Kia Cupiditate,SUV,1155928,1423400
V0422,Tata,Tata Quas,MUV,1636210,1961289
V0423,Kia,Kia Quo,EV,1431119,1828974
V0424,Volkswagen,Volkswagen Tempora,SUV,1652643,1954332
V0425,Mahindra,Mahindra Necessitatibus,Sedan,423032,518684
V0426,Skoda,Skoda Nulla,Hatchback,1268359,1707933
V0427,Tata,Tata Libero,Hatchback,1526492,1858997
V0428,MG,Mg Recusandae,SUV,1342230,1595903
V0429,Mahindra,Mahindra Corporis,Hatchback,1436284,1909192
V0430,Tata,Tata Odit,SUV,516699,633974
V0431,Hyundai,Hyundai Eum,Sedan,2100071,2495336
V0432,Skoda,Skoda Assumenda,Sedan,1766843,2073026
V0433,Honda,Honda Modi,Hatchback,2194750,2731838
V0434,Toyota,Toyota Blanditiis,EV,1790151,2338854
V0435,Mahindra,Mahindra Magni,Hatchback,1452772,1805056
V0436,Hyundai,Hyundai Incidunt,Sedan,2187250,2710498
V0437,MG,Mg Quis,Sedan,2135709,2561204
V0438,Tata,Tata Rem,SUV,2174690,2701558
V0439,Skoda,Skoda Illum,EV,443560,595520
V0440,Honda,Honda Tenetur,Sedan,2445478,3165667
V0441,Hyundai,Hyundai Inventore,EV,1800813,2144789
V0442,Kia,Kia Saepe,EV,1878092,2365109
V0443,Hyundai,Hyundai Neque,SUV,1072296,1273364
V0444,Volkswagen,Volkswagen Veritatis,Sedan,1823502,2191908
V0445,Tata,Tata Sunt,MUV,438478,560205
V0446,Tata,Tata Commodi,Hatchback,693049,800231
V0447,MG,Mg Quas,Sedan,1937168,2438134
V0448,Skoda,Skoda Aut,MUV,606649,757942
V0449,Toyota,Toyota Nobis,Hatchback,1055643,1215046
V0450,MG,Mg Ipsum,MUV,603012,776559
V0451,Volkswagen,Volkswagen Nisi,Hatchback,2410428,3019397
V0452,Tata,Tata Pariatur,Hatchback,469489,603002
V0453,MG,Mg Facere,EV,2453699,2946489
V0454,Mahindra,Mahindra Asperiores,Hatchback,1894698,2317480
V0455,Hyundai,Hyundai Reiciendis,Sedan,2052529,2608856
V0456,Tata,Tata Vel,,1335535,1627749
