SaleID,Date,DealerID,CustomerID,VehicleID,DiscountAmount,FinalPrice
S000100,19/09/2025,D006,C01141,V0334,252754.0,2274790
S000101,2025-12-21,D015,C01878,V0028,56183.0,1067495
S000102,2025-12-08,D023,C01647,V0432,41460.0,2031566
S000103,2025-05-14,D021,C04520,V0143,12920.0,633113
S000104,2026-07-03,D017,C00273,V0399,0.0,2611128
S000105,2025-01-25,D027,C04901,V0327,145550.0,1673836
S000106,23/06/2025,D036,C02850,V0314,119347.0,1074128
S000107,2026-07-07,D049,C04610,V0042,58032.0,2843610
S000108,07/01/2025,D032,C03821,V0363,148048.0,1702560
S000109,2024-12-01,D002,C04299,V0264,234192.0,2693215
S000110,2025-03-14,D018,C00238,V0294,74057.0,1407086
S000111,01/07/2025,D043,C02812,V0322,0.0,1809107
S000112,04-20-2026,D001,C03004,V0477,270838.0,2437543
S000113,08-30-2024,D020,C01081,V0469,54756.0,2683093
S000114,19/10/2024,D031,C00916,V0043,66254.0,758198
S000115,2025-10-15,D026,C01867,V0227,173190.0,1558719
S000116,12-15-2025,D008,C01769,V0233,80993.0,1538876
S000117,2026-02-13,D044,C03117,V0061,0.0,2580121
S000118,12-05-2025,D016,C03899,V0033,22117.0,1083763
S000119,05/04/2025,D019,C01749,V0053,58242.0,1106602
S000120,2024-08-21,D031,C04653,V0143,32301.0,613732
S000121,02/01/2026,D039,C04667,V0224,48420.0,435786
S000122,2025-02-01,D048,C02669,V0235,86438.0,994049
S000123,2026-05-31,D008,C03479,V0029,0.0,1274572
S000124,08-04-2026,D001,C00480,V0223,148162.0,1703865
S000125,2026-03-05,D046,C02093,V0172,38279.0,727308
S000126,12-25-2024,D022,C03403,V0448,75794.0,682148
S000127,2025-03-22,D050,C04446,V0288,212275.0,1910479
S000128,2026-01-08,D023,C04907,V0432,103651.0,1969375
S000129,2026-02-14,D028,C04180,V0461,0.0,2376261
S000130,30/08/2024,D050,C04419,V0257,48992.0,563408
S000131,2025-04-16,D019,C01122,V0116,163658.0,1472930
S000132,2026-02-27,D024,C01256,V0103,51056.0,2501754
S000133,2026-01-16,D049,C00500,V0218,27273.0,1336383
S000134,2025-12-10,D029,C00375,V0364,290452.0,2614075
S000135,2026-05-29,D030,C00274,V0187,,1568815
S000136,2025-07-15,D016,C00145,V0318,247277.0,2843695
S000137,25/05/2026,D045,C02708,V0175,0.0,681124
S000138,2025-06-25,D004,C02977,V0474,0.0,901534
S000139,2026-07-17,D015,C04055,V0285,120901.0,1390364
S000140,2025-10-30,D021,C04630,V0374,131656.0,2501480
S000141,21/07/2026,D025,C02664,V0247,150696.0,1733011
S000142,2025-02-07,D050,C02008,V0088,73629.0,1398954
S000143,07/06/2026,D045,C01020,V0090,207381.0,2384886
S000144,2026-02-03,D020,C04452,V0195,101522.0,1167513
S000145,2024-09-26,D004,C02934,V0256,,991585
S000146,2025-04-22,D030,C04944,V0158,103385.0,1188931
S000147,02/05/2026,D006,C02099,V0390,171819.0,1546375
S000148,2025-06-26,D042,C04939,V0350,134609.0,1211484
S000149,03/04/2025,D008,C00213,V0076,21572.0,1057041
S000150,05-09-2025,D016,C04181,V0049,234481.0,2110338
S000151,2025-03-26,D015,C03794,V0146,,604523
S000152,04-06-2025,D038,C01806,V0203,27543.0,1349617
S000153,10-27-2025,D037,C02973,V0218,,1363656
S000154,25/01/2025,D007,C04686,V0011,113875.0,2163638
S000155,05-16-2026,D011,C02423,V0002,92876.0,1764654
S000156,04-30-2025,D016,C04868,V0153,164638.0,1893338
S000157,2026-04-19,D029,C01839,V0221,81710.0,1552493
S000158,2024-09-27,D032,C02891,V0129,152428.0,2896148
S000159,02/11/2024,D040,C02028,V0205,0.0,1671612
S000160,2024-10-05,D022,C04220,V0429,38183.0,1871009
S000161,12/01/2026,D024,C02739,V0148,0.0,2066594
S000162,2024-10-16,D013,C01900,V0342,195260.0,2245496
S000163,05-08-2025,D003,C02308,V0180,52324.0,2563913
S000164,2025-11-16,D025,C00900,V0024,77375.0,1470142
S000165,03-08-2025,D035,C00176,V0375,154616.0,1778084
S000166,2025-01-06,D044,C01966,V0452,48240.0,554762
S000167,2026-08-04,D001,C03029,V0073,0.0,1419893
S000168,2025-08-01,D008,C03231,V0471,117265.0,2228035
S000169,11/01/2025,D017,C02851,V0152,47898.0,550836
S000170,2026-05-27,D043,C00133,V0421,71170.0,1352230
S000171,12/12/2025,D013,C00066,V0363,92530.0,1758078
S000172,2025-08-22,D044,C00621,V0114,94840.0,1090669
S000173,2024-11-12,D032,C00483,V0475,,2320126
S000174,11/12/2025,D039,C01302,V0225,52291.0,993532
S000175,2025-04-22,D042,C02074,V0001,10349.0,507119
S000176,2026-07-18,D003,C03836,V0426,,1707933
S000177,04-15-2025,D041,C03500,V0389,,2854835
S000178,04-20-2025,D032,C04819,V0222,105613.0,950523
S000179,13/04/2025,D046,C03671,V0046,95788.0,1101574
S000180,2025-04-30,D015,C03749,V0154,49329.0,937256
S000181,2026-01-18,D005,C01006,V0131,65157.0,749313
S000182,10/02/2025,D018,C02026,V0059,25302.0,1239847
S000183,09-06-2025,D017,C04212,V0422,98064.0,1863225
S000184,2025-10-20,D002,C00104,V0033,88470.0,1017410
S000185,2025-09-29,D028,C00595,V0489,127414.0,2420877
S000186,23/03/2026,D025,C04268,V0258,161024.0,1851783
S000187,03-10-2026,D014,C01585,V0437,256120.0,2305084
S000188,31/12/2025,D040,C00043,V0376,49957.0,574508
S000189,2026-02-02,D022,C01656,V0299,281844.0,2536603
S000190,2024-08-11,D031,C04511,V0391,44890.0,516247
S000191,09-02-2024,D019,C02991,V0252,108738.0,2066027
S000192,2024-12-03,D028,C01840,V0386,29314.0,1436427
S000193,03-10-2025,D022,C03845,V0448,0.0,757942
S000194,2026-06-09,D028,C02813,V0317,0.0,2795437
S000195,2025-01-31,D049,C03995,V0034,60310.0,693568
S000196,2025-08-14,D043,C00324,V0167,159466.0,1435195
S000197,2025-09-19,D007,C02792,V0360,0.0,1596917
S000198,10-30-2025,D038,C00916,V0015,182646.0,2100430
S000199,2025-04-29,D002,C02516,V0215,56199.0,1067788
S000200,12/06/2025,D017,C04251,V0019,0.0,1167567
S000201,2025-01-03,D022,C01917,V0083,122503.0,2327575
S000202,2026-04-16,D002,C02806,V0081,0.0,1238439
S000203,2026-02-16,D017,C01808,V0446,,800231
S000204,2025-04-09,D011,C01841,V0019,116756.0,1050811
S000205,2026-05-27,D006,C02343,V0299,225475.0,2592972
S000206,12-10-2025,D029,C03539,V0498,116987.0,1345352
S000207,03/01/2026,D037,C00532,V0397,227434.0,2046911
S000208,2025-05-13,D016,C03367,V0359,35944.0,1761286
S000209,2025-06-27,D005,C03236,V0492,153091.0,1377822
S000210,01-09-2025,D032,C00286,V0200,197636.0,1778733
S000211,17/01/2025,D001,C03549,V0032,0.0,1148274
S000212,2025-07-27,D015,C03372,V0271,58104.0,1103979
S000213,2025-06-21,D012,C00476,V0393,0.0,779280
S000214,2024-11-17,D026,C03466,V0170,0.0,2600909
S000215,07/03/2026,D015,C01431,V0241,213370.0,2453758
S000216,2025-03-12,D013,C01082,V0122,130055.0,1495638
S000217,2025-01-02,D010,C02018,V0362,137752.0,2617303
S000218,2024-12-28,D011,C04200,V0368,60598.0,545386
S000219,2025-04-10,D041,C00394,V0091,43134.0,496047
S000220,07/05/2026,D006,C04433,V0222,105613.0,950523
S000221,25/12/2024,D041,C03480,V0061,0.0,2626740
S000222,08/05/2026,D026,C02101,V0490,117910.0,1061198
S000223,2026-04-26,D013,C00260,V0234,29333.0,1437323
S000224,18/10/2025,D025,C03120,V0112,82386.0,1565337
S000225,2024-09-03,D016,C01917,V0033,110588.0,995292
S000226,03-25-2025,D021,C04394,V0294,29622.0,1451521
S000227,23/08/2025,D020,C02872,V0498,0.0,1462339
S000228,2024-08-15,D042,C00576,V0456,32554.0,1545248
S000229,2026-06-24,D024,C01244,V0178,252291.0,2901353
S000230,2025-06-29,D013,C04243,V0363,37012.0,1813596
S000231,08-15-2024,D047,C04812,V0177,319696.0,2877273
S000232,05-12-2025,D017,C00785,V0399,208890.0,2402238
S000233,2025-08-15,D025,C00359,V0185,101449.0,1927533
S000234,2026-08-06,D041,C03981,V0203,68858.0,1308302
S000235,11-23-2024,D029,C99999,V0012,16971.0,831597
S000236,20/12/2025,D029,C03436,V0468,208212.0,1873917
S000237,2025-01-10,D022,C01362,V0197,62912.0,723488
S000238,03-08-2026,D030,C04433,V0195,101522.0,1167513
S000239,10-25-2025,D007,C03401,V0029,63728.0,1210844
S000240,2025-02-17,D002,C01267,V0424,156346.0,1797986
S000241,2026-02-20,D017,C04243,V0382,51017.0,459162
S000242,06-04-2026,D024,C02110,V0290,212881.0,2448132
S000243,2026-07-10,D024,C01829,V0294,,1481143
S000244,05-11-2026,D039,C02732,V0173,141562.0,2689678
S000245,2024-09-19,D038,C02127,V0279,33306.0,1632024
S000246,2025-04-13,D005,C03655,V0085,47251.0,543394
S000247,05-17-2025,D029,C01984,V0364,58090.0,2846437
S000248,2024-12-17,D027,C02682,V0065,92519.0,1063979
S000249,2026-01-22,D023,C02412,V0277,0.0,780304
S000250,2025-04-23,D026,C04691,V0370,71673.0,824246
S000251,2025-04-12,D030,C02659,V0323,0.0,2772831
S000252,03-09-2026,D045,C03463,V0398,0.0,2477312
S000253,2024-11-24,D016,C03305,V0031,0.0,2265869
S000254,2025-09-30,D037,C03578,V0474,0.0,901534
S000255,2025-03-11,D026,C03360,V0009,0.0,2651840
S000256,2026-07-17,D020,C02013,V0377,242985.0,2794335
S000257,2024-10-05,D012,C03825,V0218,0.0,1363656
S000258,11/05/2026,D030,C01100,V0101,203901.0,1835114
S000259,2025-03-07,D007,C01162,V0008,0.0,2555985
S000260,07-28-2025,D019,C02050,V0212,0.0,2437975
S000261,07/12/2024,D011,C00312,V0270,68743.0,618691
S000262,21/05/2026,D046,C03408,V0341,126723.0,2407747
S000263,2025-12-31,D040,C00943,V0129,304857.0,2743719
S000264,2025-04-08,D046,C04190,V0444,43838.0,2148070
S000265,29/10/2024,D037,C03821,V0176,104176.0,1979356
S000266,2025-04-12,D007,C00881,V0225,20916.0,1024907
S000267,07/10/2025,D044,C01760,V0484,206225.0,2371589
S000268,2025-03-17,D019,C04426,V0111,42821.0,813607
S000269,2024-10-05,D028,C04383,V0204,83894.0,755052
S000270,09/08/2025,D009,C04293,V0333,10034.0,491708
S000271,12-28-2024,D040,C01211,V0152,11974.0,586760
S000272,20/05/2026,D025,C00534,V0247,94185.0,1789522
S000273,2024-10-09,D013,C03605,V0261,0.0,2202407
S000274,2025-11-02,D047,C00808,V0091,10783.0,528398
S000275,2025-05-12,D014,C02219,V0172,0.0,765587
S000276,2026-03-08,D049,C01157,V0039,228008.0,2622104
S000277,04-02-2026,D040,C03952,V0456,81387.0,1546362
S000278,2026-01-10,D011,C01240,V0156,98399.0,1869589
S000279,05-01-2025,D029,C04233,V0141,35279.0,670312
S000280,2024-10-19,D006,C03731,V0154,19731.0,966854
S000281,2025-06-21,D014,C02725,V0082,49267.0,2414113
S000282,2025-10-21,D046,C01829,V0491,61616.0,3019208
S000283,07-11-2026,D001,C04499,V0222,105613.0,950523
S000284,2026-07-30,D009,C03497,V0128,210020.0,2415237
S000285,2025-09-10,D007,C01183,V0352,169926.0,1954155
S000286,2024-09-05,D025,C04021,V0003,0.0,3181573
S000287,2026-03-11,D027,C01325,V0389,228386.0,2626449
S000288,05-17-2025,D040,C00033,V0331,171481.0,1543338
S000289,29/01/2026,D023,C00933,V0351,180910.0,1628192
S000290,2026-06-29,D031,C02521,V0187,156881.0,1411934
S000291,01-30-2025,D016,C03824,V0359,0.0,1797230
S000292,19/02/2026,D021,C01541,V0405,64289.0,1221503
S000293,02-21-2026,D015,C03125,V0240,,2195447
S000294,07/05/2026,D018,C00832,V0173,141562.0,2689678
S000295,04/01/2026,D025,C04988,V0088,0.0,1472583
S000296,2026-02-27,D048,C02586,V0403,9860.0,483187
S000297,2025-10-12,D020,C03009,V0098,17155.0,840614
S000298,09/11/2025,D046,C00902,V0102,20642.0,1011477
S000299,12-17-2025,D040,C02850,V0450,62124.0,714435
S000300,01-27-2026,D036,C03785,V0312,0.0,1667864
S000301,2025-02-15,D017,C01458,V0409,0.0,3025229
S000302,2025-03-20,D049,C03982,V0128,52505.0,2572752
S000303,26/12/2025,D039,C02462,V0009,0.0,2651840
S000304,29/01/2026,D015,C01838,V0294,0.0,1481143
S000305,2025-10-02,D001,C04348,V0257,30620.0,581780
S000306,08-27-2025,D028,C03098,V0446,80023.0,720208
S000307,01-19-2026,D033,C00570,V0012,42428.0,806140
S000308,2026-01-24,D041,C02931,V0203,27543.0,1349617
S000309,2026-06-14,D035,C02136,V0375,38654.0,1894046
S000310,2025-06-01,D018,C00855,V0054,141130.0,2681489
S000311,2024-09-02,D041,C00574,V0306,187322.0,1685904
S000312,2024-12-28,D009,C02384,V0070,97500.0,1852517
S000313,19/04/2025,D047,C02042,V0115,,1548455
S000314,2025-10-15,D027,C00461,V0016,120680.0,2292938
S000315,2026-03-02,D014,C03537,V0353,118479.0,1362517
S000316,2026-03-17,D032,C02900,V0048,59999.0,1139988
S000317,25/04/2025,D028,C01641,V0231,20188.0,989254
S000318,2025-05-24,D045,C02886,V0485,56984.0,2792226
S000319,2024-11-26,D022,C02134,V0272,115612.0,1329542
S000320,2024-09-04,D025,C02659,V0471,117265.0,2228035
S000321,2025-09-30,D010,C03683,V0362,55101.0,2699954
S000322,2024-11-27,D040,C00965,V0164,143172.0,2720281
S000323,12-30-2025,D022,C03070,V0063,49564.0,2428647
S000324,2026-04-17,D030,C03663,V0013,0.0,1579770
S000325,29/08/2025,D037,C01917,V0390,85909.0,1632285
S000326,2025-08-27,D039,C01816,V0061,131337.0,2495403
S000327,2025-08-02,D045,C03584,V0205,33432.0,1638180
S000328,08/03/2026,D025,C02848,V0258,100640.0,1912167
S000329,2024-09-02,D044,C00202,V0148,165327.0,1901267
S000330,04-13-2026,D010,C01327,V0484,128890.0,2448924
S000331,04-30-2026,D028,C02352,V0145,165178.0,1486611
S000332,2024-11-18,D007,C01319,V0105,117007.0,1053064
S000333,11-08-2025,D048,C01086,V0295,108921.0,2069507
S000334,2025-11-05,D012,C00541,V0154,49329.0,937256
S000335,26/01/2026,D015,C01567,V0453,235719.0,2710770
S000336,2025-10-10,D049,C01381,V0063,198256.0,2279955
S000337,04-06-2025,D021,C01007,V0286,143399.0,1649094
S000338,2025-12-19,D031,C00374,V0043,,828178
S000339,08/01/2025,D030,C02122,V0187,156881.0,1411934
S000340,01/10/2025,D037,C00250,V0419,52477.0,2571383
S000341,2026-05-03,D004,C00126,V0310,54984.0,2694258
S000342,10-17-2024,D035,C02555,V0217,0.0,2863664
S000343,2025-01-24,D042,C02305,V0406,44898.0,516329
S000344,2025-03-07,D026,C04161,V0039,142505.0,2707607
S000345,2026-04-11,D035,C00153,V0169,0.0,2148089
S000346,11/06/2025,D010,C00362,V0310,137462.0,2611780
S000347,2025-07-23,D027,C03736,V0443,63668.0,1209696
S000348,2024-09-08,D002,C01274,V0230,144966.0,2754367
S000349,10-06-2025,D041,C03995,V0316,0.0,2805816
S000350,12-15-2025,D004,C01657,V0335,303894.0,2735049
S000351,06-22-2025,D050,C02764,V0038,27455.0,1345340
S000352,01/06/2025,D046,C02955,V0467,109667.0,2083689
S000353,04-19-2025,D020,C02401,V0045,112322.0,2134123
S000354,12-09-2024,D023,C00924,V0474,45076.0,856458
S000355,2025-07-12,D017,C04189,V0446,0.0,800231
S000356,2024-12-21,D037,C00678,V0308,268991.0,2420926
S000357,2025-03-29,D039,C04144,V0362,0.0,2755055
S000358,2025-05-19,D014,C02213,V0494,23217.0,1137670
S000359,2026-07-09,D031,C02005,V0456,81387.0,1546362
S000360,2025-05-23,D007,C02542,V0028,22473.0,1101205
S000361,2026-01-28,D009,C01106,V0022,235201.0,2116811
S000362,2026-04-02,D044,C02043,V0130,113896.0,1309816
S000363,2025-02-08,D014,C03562,V0172,0.0,765587
S000364,2025-05-25,D025,C04774,V0374,52662.0,2580474
S000365,2026-04-29,D017,C02036,V0331,137185.0,1577634
S000366,2025-04-13,D002,C04122,V0190,88994.0,1690887
S000367,01-29-2026,D025,C00783,V0266,66357.0,1260789
S000368,2025-01-14,D006,C00326,V0408,12069.0,591424
S000369,09/02/2025,D020,C02357,V0365,145205.0,1669865
S000370,07/05/2026,D049,C03404,V0165,142463.0,1638335
S000371,20/09/2025,D038,C00309,V0404,149922.0,2848534
S000372,2025-05-30,D019,C00636,V0489,50965.0,2497326
S000373,2026-01-08,D003,C03828,V0442,236510.0,2128599
S000374,2026-02-17,D031,C01489,V0255,130217.0,1171960
S000375,09/01/2025,D015,C03699,V0407,266954.0,2402594
S000376,2026-06-02,D048,C03011,V0273,30306.0,1485000
S000377,06-07-2026,D006,C00983,V0495,198261.0,1784353
S000378,2024-12-27,D015,C04130,V0124,0.0,2965470
S000379,2024-12-29,D013,C00869,V0400,30161.0,1477908
S000380,2025-12-01,D039,C03883,V0079,57214.0,2803526
S000381,2026-05-29,D013,C04474,V0167,79733.0,1514928
S000382,2026-05-01,D049,C04302,V0012,42428.0,806140
S000383,2025-07-11,D045,C04665,V0404,0.0,2998456
S000384,12-15-2024,D008,C01236,V0161,219801.0,2527722
S000385,2026-01-25,D031,C04830,V0265,68351.0,1298675
S000386,01-28-2026,D036,C02423,V0263,274667.0,2472009
S000387,2025-11-26,D023,C01431,V0296,0.0,824696
S000388,28/03/2025,D028,C01895,V0220,233659.0,2102932
S000389,03-10-2026,D045,C00542,V0404,0.0,2998456
S000390,28/07/2026,D038,C04225,V0059,0.0,1265149
S000391,2025-12-19,D047,C03680,V0307,88238.0,1014749
S000392,2026-01-28,D045,C02951,V0160,179712.0,2066694
S000393,2026-01-12,D001,C03416,V0399,0.0,2611128
S000394,2024-10-19,D031,C00532,V0255,,1302177
S000395,01-31-2025,D032,C01844,V0355,63752.0,3173261
S000396,2025-08-12,D041,C00756,V0046,23947.0,1173415
S000397,2025-06-02,D004,C00564,V0314,23869.0,1169606
S000398,20/09/2025,D024,C01586,V0313,45811.0,870425
S000399,2025-05-30,D026,C04329,V0296,65975.0,758721
S000400,2026-02-20,D044,C01087,V0187,31376.0,1537439
S000401,2026-03-16,D006,C03732,V0491,0.0,3080824
S000402,2026-03-14,D010,C99999,V0001,51746.0,465722
S000403,2026-07-04,D006,C01590,V0158,25846.0,1266470
S000404,16/04/2026,D028,C04616,V0350,26921.0,1319172
S000405,08/01/2025,D035,C03720,V0224,48420.0,435786
S000406,11/09/2024,D019,C01846,V0128,210020.0,2415237
S000407,2026-02-22,D042,C00907,V0002,148602.0,1708928
S000408,10-17-2024,D048,C00766,V0425,41494.0,477190
S000409,2026-01-10,D015,C02895,V0285,75563.0,1435702
S000410,04-25-2025,D037,C00890,V0394,170156.0,1956797
S000411,2025-05-21,D010,C02158,V0389,142741.0,2712094
S000412,2025-02-13,D010,C04034,V0313,45811.0,870425
S000413,2025-08-26,D037,C01774,V0370,,895919
S000414,2024-12-02,D019,C02261,V0194,89964.0,1034588
S000415,2024-10-03,D012,C00927,V0246,118665.0,1067985
S000416,2025-05-17,D020,C01726,V0342,122037.0,2318719
S000417,09-02-2024,D048,C00973,V0141,70559.0,635032
S000418,2026-07-08,D048,C01896,V0318,0.0,3090972
S000419,01-14-2026,D045,C00890,V0363,148048.0,1702560
S000420,08-17-2025,D023,C00227,V0441,214478.0,1930311
S000421,12/05/2026,D003,C01626,V0016,193089.0,2220529
S000422,12-07-2025,D024,C02500,V0077,,1732334
S000423,2024-08-23,D046,C02409,V0388,92790.0,1763029
S000424,02/04/2026,D025,C03892,V0175,34056.0,647068
S000425,19/03/2025,D035,C02098,V0281,0.0,1343831
S000426,2026-03-13,D003,C04673,V0278,43774.0,503412
S000427,2024-09-28,D048,C00936,V0308,215193.0,2474724
S000428,2025-03-15,D047,C03130,V0494,0.0,1160887
S000429,01/07/2026,D007,C00817,V0002,185753.0,1671777
S000430,2025-02-21,D041,C03084,V0474,45076.0,856458
S000431,2025-11-16,D022,C00896,V0272,144515.0,1300639
S000432,2025-12-29,D007,C02624,V0149,26947.0,1320411
S000433,26/08/2025,D034,C00816,V0217,286366.0,2577298
S000434,2026-03-17,D007,C04059,V0426,34158.0,1673775
S000435,2025-11-24,D004,C04144,V0037,85669.0,1627718
S000436,2025-11-05,D024,C00675,V0294,148114.0,1333029
S000437,11/08/2025,D028,C00886,V0412,169835.0,1953106
S000438,12-22-2024,D018,C04678,V0079,143037.0,2717703
S000439,2024-10-06,D020,C04003,V0435,36101.0,1768955
S000440,10-11-2024,D040,C03199,V0377,303732.0,2733588
S000441,2026-01-21,D029,C04394,V0180,209298.0,2406939
S000442,2025-03-16,D023,C01945,V0452,30150.0,572852
S000443,2025-09-30,D031,C00418,V0308,0.0,2689917
S000444,2024-09-01,D005,C04633,V0062,18278.0,895626
S000445,07-07-2025,D030,C00218,V0355,255011.0,2932635
S000446,2026-05-30,D036,C03423,V0095,199984.0,2299823
S000447,11/12/2025,D018,C03839,V0383,179844.0,2068208
S000448,2025-06-11,D047,C00026,V0136,229310.0,2637076
S000449,2024-09-23,D015,C04926,V0489,127414.0,2420877
S000450,08/07/2025,D022,C03744,V0429,0.0,1909192
S000451,10-15-2024,D049,C02987,V0413,94850.0,1090779
S000452,10/01/2025,D011,C02748,V0368,12119.0,593865
S000453,01-29-2025,D034,C00725,V0296,82469.0,742227
S000454,07/07/2026,D014,C03847,V0219,0.0,1985390
S000455,2025-05-02,D014,C02682,V0479,141904.0,2696191
S000456,2024-10-14,D030,C01270,V0048,,1199987
S000457,2025-05-24,D043,C00350,V0257,61240.0,551160
